0.160	0:00	Ho
0.280	0:00	generato
0.680	0:00	più
0.840	0:00	di
1.040	0:01	50.000
1.640	0:01	follower
2.080	0:02	nell'ultimo
2.600	0:02	anno
2.879	0:02	solo
3.120	0:03	con
3.320	0:03	LinkedIn
3.840	0:03	e
4.040	0:04	poco
4.240	0:04	più
4.400	0:04	di
4.480	0:04	$100.000.
5.400	0:05	Ed
5.560	0:05	in
5.680	0:05	questo
5.879	0:05	video
6.160	0:06	voglio
6.480	0:06	mostrarti
7.080	0:07	qual
7.319	0:07	è
7.439	0:07	il
7.560	0:07	metodo
7.960	0:07	migliore
8.400	0:08	per
8.559	0:08	acquisire
9.000	0:09	clienti
9.320	0:09	con
9.440	0:09	la
9.559	0:09	piattaforma.
10.080	0:10	Detto
10.280	0:10	questo,
10.800	0:10	cominciamo.
11.240	0:11	Tutte
11.480	0:11	persone
11.759	0:11	ti
11.920	0:11	diranno
12.240	0:12	che
12.320	0:12	il
12.480	0:12	miglior
12.759	0:12	modo
13.040	0:13	per
13.160	0:13	fare
13.360	0:13	soldi
13.679	0:13	online
13.920	0:13	è
14.040	0:14	postare
14.360	0:14	sui
14.519	0:14	social
14.799	0:14	media,
15.160	0:15	ma
15.360	0:15	questo
15.639	0:15	non
15.839	0:15	è
15.960	0:15	vero,
16.199	0:16	specialmente
16.720	0:16	nel
16.920	0:16	breve
17.160	0:17	termine.
17.840	0:17	E
17.960	0:17	voglio
18.160	0:18	darti
18.439	0:18	qualche
18.680	0:18	dato
18.880	0:18	per
19.000	0:19	capire
19.279	0:19	perché.
19.680	0:19	Nell'ultimo
20.199	0:20	anno
20.680	0:20	di
21.119	0:21	tutti
21.480	0:21	i
21.720	0:21	soldi
22.000	0:22	che
22.080	0:22	ho
22.199	0:22	generato
22.600	0:22	per
22.720	0:22	la
22.840	0:22	mia
23.000	0:23	agenzia
23.560	0:23	AI,
24.160	0:24	probabilmente
24.840	0:24	meno
25.039	0:25	del
25.279	0:25	5%
25.880	0:25	è
26.000	0:26	venuto
26.279	0:26	da
26.480	0:26	post,
27.160	0:27	quindi
27.359	0:27	da
27.560	0:27	content
27.920	0:27	creation.
28.439	0:28	E
28.560	0:28	proprio
28.840	0:28	per
28.960	0:28	questo
29.199	0:29	motivo,
29.640	0:29	nell'arco
30.080	0:30	della
30.279	0:30	settimana
30.800	0:30	io
31.080	0:31	commento
31.679	0:31	circa,
32.279	0:32	oggi
32.480	0:32	è
32.599	0:32	il
32.759	0:32	23
33.520	0:33	di
33.719	0:33	aprile,
34.160	0:34	scusate,
34.960	0:34	commento
35.480	0:35	circa
36.160	0:36	600
37.000	0:37	volte,
37.719	0:37	quindi
38.040	0:38	ho
38.200	0:38	un
38.320	0:38	team
38.520	0:38	che
38.760	0:38	lascia
39.160	0:39	600
39.879	0:39	commenti
40.879	0:40	e
41.399	0:41	mando
41.920	0:41	più
42.079	0:42	o
42.200	0:42	meno
42.600	0:42	un
42.760	0:42	centinaio
43.360	0:43	di
43.520	0:43	messaggi
43.960	0:43	di
44.160	0:44	EMS
44.480	0:44	a
44.640	0:44	settimana.
45.160	0:45	Perché
45.360	0:45	vi
45.480	0:45	dico
45.680	0:45	questo?
45.920	0:45	Vabbè,
46.120	0:46	perché
46.360	0:46	sostanzialmente
46.920	0:46	molti
47.199	0:47	sono
47.399	0:47	convinti
47.800	0:47	che
47.960	0:47	questo
48.360	0:48	postare
48.680	0:48	sui
48.879	0:48	social
49.120	0:49	media
49.360	0:49	porti
49.640	0:49	qualcosa.
50.399	0:50	Bene,
50.719	0:50	oggi
51.079	0:51	secondo
51.520	0:51	Favicon,
52.120	0:52	che
52.239	0:52	è
52.359	0:52	una
52.520	0:52	piattaforma
53.000	0:53	che
53.199	0:53	fa
53.600	0:53	classifiche,
54.760	0:54	sono
55.320	0:55	creator
55.840	0:55	numero
56.120	0:56	uno
56.359	0:56	per
56.520	0:56	quanto
56.879	0:56	riguarda
57.239	0:57	parte
57.640	0:57	ET
58.000	0:58	e
58.239	0:58	Technology
58.960	0:58	per
59.079	0:59	quanto
59.399	0:59	riguarda
59.600	0:59	Lussemburgo
